frequency_hz,synchronous_component,quadrature_component,status
10.000000,5.696775,1.511750,0
10.467343,5.702600,1.568025,0
10.956527,5.723075,1.647925,0
11.468573,5.714000,1.698450,0
12.004549,5.719550,1.786925,0
12.565574,5.715350,1.884775,0
13.152817,5.736875,1.955425,0
13.767505,5.720600,2.048800,0
14.410921,5.727100,2.152375,0
15.084405,5.751725,2.260075,0
15.789365,5.756025,2.337900,0
16.527269,5.759375,2.452175,0
17.299662,5.767225,2.565275,0
18.108149,5.784775,2.696300,0
18.954420,5.796900,2.808475,0
19.840242,5.815000,2.924900,0
20.767464,5.805375,3.070025,0
21.738016,5.815675,3.231875,0
22.753927,5.852525,3.371400,0
23.817316,5.860400,3.529275,0
24.930405,5.868225,3.689700,0
26.095509,5.888400,3.855625,0
27.315065,5.902600,4.037925,0
28.591616,5.946600,4.224100,0
29.927826,5.963725,4.411175,0
31.326483,5.991550,4.628225,0
32.790504,6.010750,4.818300,0
34.322948,6.055875,5.067175,0
35.927006,6.092825,5.291675,0
37.606030,6.125100,5.512825,0
39.363522,6.158050,5.761650,0
41.203152,6.216475,6.047250,0
43.128754,6.256350,6.322825,0
45.144344,6.322000,6.601425,0
47.254135,6.360175,6.909025,0
49.462524,6.431050,7.217300,0
51.774124,6.493550,7.541225,0
54.193752,6.567225,7.895775,0
56.726460,6.667650,8.272675,0
59.377533,6.758775,8.633000,0
62.152500,6.867300,9.029925,0
65.057159,6.980200,9.449775,0
68.097557,7.061625,9.869825,0
71.280052,7.184750,10.310350,0
74.611275,7.349825,10.794150,0
78.098183,7.506650,11.244500,0
81.748055,7.695950,11.751125,0
85.568489,7.870550,12.305475,0
89.567474,8.067975,12.854350,0
93.753349,8.289900,13.430150,0
98.134850,8.530550,14.022975,0
102.721115,8.848100,14.694000,0
107.521721,9.145200,15.339350,0
112.546677,9.437300,16.014950,0
117.806465,9.797200,16.784550,0
123.312073,10.150250,17.473850,0
129.074982,10.526850,18.230900,0
135.107208,10.994200,18.984750,0
141.421356,11.489250,19.864850,0
148.030594,12.049150,20.711200,0
154.948700,12.655450,21.571650,0
162.190125,13.160200,22.432350,0
169.769958,13.896200,23.403300,0
177.704056,14.691550,24.429750,0
186.008926,15.552950,25.442050,0
194.701935,16.541950,26.393750,0
203.801193,17.584300,27.409600,0
213.325699,18.502600,28.466750,0
223.295334,19.638100,29.596650,0
233.730896,20.972600,30.758050,0
244.654144,22.545750,31.923000,0
256.087891,24.472650,32.931550,0
268.056000,26.583400,33.744900,0
280.583405,29.344100,33.114850,0
293.696289,31.459500,33.609200,0
307.421967,32.347800,37.099500,0
321.789124,34.986600,37.968700,0
336.827728,37.867400,38.934600,0
352.569153,41.800100,38.599300,0
369.046234,43.754400,35.188100,0
386.293365,44.496500,34.184900,0
404.346527,45.525800,34.371400,0
423.243378,47.227800,35.005700,0
443.023376,49.540900,35.967800,0
463.727753,52.455400,36.951600,0
485.399780,56.041200,37.811900,0
508.084595,60.166700,38.428100,0
531.829590,64.942800,38.782200,0
556.684265,70.285800,38.726200,0
582.700562,76.309800,37.879600,0
609.932678,82.854300,36.299000,0
638.437439,90.104300,33.716600,0
668.274414,97.718000,30.126000,0
699.505737,105.687500,24.971600,0
732.196655,113.659600,18.108400,0
766.415405,121.391800,9.277100,0
802.233276,128.512600,-1.510500,0
839.725159,134.455400,-14.587200,0
878.969116,138.549500,-30.078500,0
920.047119,138.062300,-48.398100,0
963.044922,133.143500,-65.781500,0
1008.052185,127.428600,-82.660700,0
1055.162842,118.265300,-99.306800,0
1104.475098,105.293300,-114.393300,0
1156.092041,89.211200,-126.894300,0
1210.121216,70.500400,-135.435900,0
1266.675415,51.201300,-139.966200,0
1325.872681,31.987100,-141.070300,0
1387.836426,13.609100,-138.801700,0
1452.696045,-3.289500,-133.494100,0
1520.586792,-18.238000,-126.299700,0
1591.650391,-31.582500,-117.597000,0
1666.035034,-43.093400,-107.475600,0
1743.896118,-52.338500,-95.938500,0
1825.395874,-59.292600,-84.798300,0
1910.704468,-64.448600,-72.338900,0
2000.000000,-67.833800,-57.208100,0
