module,mode,frequency_hz,synchronous_component,quadrature_component,gain_linear,gain_db,phase_deg,status,phase_unwrapped_deg,plot_valid
power_path,D2I,10.000000,5.696775,1.511750,5.89394888535,15.4081273031,14.862003741,ok,14.862003741,1
power_path,D2I,10.467343,5.702600,1.568025,5.91424967013,15.4379930865,15.3744764622,ok,15.3744764622,1
power_path,D2I,10.956527,5.723075,1.647925,5.95560612039,15.4985193511,16.0634366786,ok,16.0634366786,1
power_path,D2I,11.468573,5.714000,1.698450,5.96108449886,15.5065055607,16.5542451939,ok,16.5542451939,1
power_path,D2I,12.004549,5.719550,1.786925,5.99219101482,15.5517129809,17.3500603169,ok,17.3500603169,1
power_path,D2I,12.565574,5.715350,1.884775,6.01810621567,15.5891969698,18.2512225283,ok,18.2512225283,1
power_path,D2I,13.152817,5.736875,1.955425,6.060975309,15.650850296,18.8217766367,ok,18.8217766367,1
power_path,D2I,13.767505,5.720600,2.048800,6.07641718449,15.6729516656,19.7046930741,ok,19.7046930741,1
power_path,D2I,14.410921,5.727100,2.152375,6.11820174158,15.7324758662,20.5973669782,ok,20.5973669782,1
power_path,D2I,15.084405,5.751725,2.260075,6.17982843461,15.8195283661,21.4517813524,ok,21.4517813524,1
power_path,D2I,15.789365,5.756025,2.337900,6.21269669392,15.8656030344,22.1053030638,ok,22.1053030638,1
power_path,D2I,16.527269,5.759375,2.452175,6.25967751735,15.9310392008,23.0628995198,ok,23.0628995198,1
power_path,D2I,17.299662,5.767225,2.565275,6.31201394376,16.0033589919,23.9796087335,ok,23.9796087335,1
power_path,D2I,18.108149,5.784775,2.696300,6.38229233823,16.0995338598,24.9903595525,ok,24.9903595525,1
power_path,D2I,18.954420,5.796900,2.808475,6.44139592291,16.1795998811,25.8492032265,ok,25.8492032265,1
power_path,D2I,19.840242,5.815000,2.924900,6.50916776631,16.2705093025,26.7020421099,ok,26.7020421099,1
power_path,D2I,20.767464,5.805375,3.070025,6.56714796478,16.3475360302,27.8709866094,ok,27.8709866094,1
power_path,D2I,21.738016,5.815675,3.231875,6.65335191623,16.4608099045,29.0617137476,ok,29.0617137476,1
power_path,D2I,22.753927,5.852525,3.371400,6.75413849692,16.5913992362,29.9444829812,ok,29.9444829812,1
power_path,D2I,23.817316,5.860400,3.529275,6.84105768033,16.7024650438,31.057370608,ok,31.057370608,1
power_path,D2I,24.930405,5.868225,3.689700,6.93180717711,16.8169294678,32.1600029249,ok,32.1600029249,1
power_path,D2I,26.095509,5.888400,3.855625,7.03840171492,16.949481009,33.2161028005,ok,33.2161028005,1
power_path,D2I,27.315065,5.902600,4.037925,7.15160996319,17.0880764148,34.3757424065,ok,34.3757424065,1
