frequency_hz,synchronous_component,quadrature_component,status
10.000000,19.794275,-0.407125,0
10.467343,19.795250,-0.403700,0
10.956527,19.798750,-0.450575,0
11.468573,19.790825,-0.488600,0
12.004549,19.781625,-0.504750,0
12.565574,19.782000,-0.510050,0
13.152817,19.787650,-0.530600,0
13.767505,19.780450,-0.523050,0
14.410921,19.789675,-0.584025,0
15.084405,19.784050,-0.614000,0
15.789365,19.782300,-0.656525,0
16.527269,19.784225,-0.674900,0
17.299662,19.775800,-0.697025,0
18.108149,19.777950,-0.752150,0
18.954420,19.777800,-0.795500,0
19.840242,19.778675,-0.832325,0
20.767464,19.783025,-0.869100,0
21.738016,19.768450,-0.915800,0
22.753927,19.765350,-0.910625,0
23.817316,19.763375,-0.961875,0
24.930405,19.763850,-1.004450,0
26.095509,19.760300,-1.071900,0
27.315065,19.745675,-1.085125,0
28.591616,19.757150,-1.160925,0
29.927826,19.748350,-1.211150,0
31.326483,19.745650,-1.261200,0
32.790504,19.739800,-1.320350,0
34.322948,19.739750,-1.390775,0
35.927006,19.724325,-1.447850,0
37.606030,19.729575,-1.511950,0
39.363522,19.723700,-1.570550,0
41.203152,19.710275,-1.644625,0
43.128754,19.711075,-1.748475,0
45.144344,19.702050,-1.824825,0
47.254135,19.696825,-1.912075,0
49.462524,19.681250,-2.013350,0
51.774124,19.674800,-2.100250,0
54.193752,19.661375,-2.182100,0
56.726460,19.654825,-2.279775,0
59.377533,19.641625,-2.406275,0
62.152500,19.627050,-2.512725,0
65.057159,19.615075,-2.625750,0
68.097557,19.603675,-2.712650,0
71.280052,19.579000,-2.843350,0
74.611275,19.570975,-3.000700,0
78.098183,19.552150,-3.151950,0
81.748055,19.522200,-3.300375,0
85.568489,19.491350,-3.410775,0
89.567474,19.463625,-3.560400,0
93.753349,19.428175,-3.734750,0
98.134850,19.395825,-3.941400,0
102.721115,19.412900,-4.124800,0
107.521721,19.381450,-4.379950,0
112.546677,19.353900,-4.564550,0
117.806465,19.289450,-4.698700,0
123.312073,19.253900,-4.905700,0
129.074982,19.192250,-5.176550,0
135.107208,19.151600,-5.407500,0
141.421356,19.088400,-5.645750,0
148.030594,19.036600,-5.907100,0
154.948700,18.921550,-6.196700,0
162.190125,18.830400,-6.419100,0
169.769958,18.749950,-6.681450,0
177.704056,18.651350,-7.065250,0
186.008926,18.551050,-7.341500,0
194.701935,18.424450,-7.759000,0
203.801193,18.264700,-8.141700,0
213.325699,18.044200,-8.415200,0
223.295334,17.927350,-8.752450,0
233.730896,17.790300,-9.153000,0
244.654144,17.607300,-9.693100,0
256.087891,17.337950,-10.267850,0
268.056000,16.947350,-10.919600,0
280.583405,15.899400,-11.850700,0
293.696289,15.389400,-12.360750,0
307.421967,16.095800,-12.235500,0
321.789124,15.722200,-12.851200,0
336.827728,15.278300,-13.446900,0
352.569153,14.420200,-14.321900,0
369.046234,12.538000,-14.438400,0
386.293365,11.567600,-14.210200,0
404.346527,10.979200,-13.955200,0
423.243378,10.569900,-13.846000,0
443.023376,10.294700,-13.999200,0
463.727753,9.964300,-14.183200,0
485.399780,9.609900,-14.388200,0
508.084595,9.236300,-14.894600,0
531.829590,8.729700,-15.401800,0
556.684265,8.157900,-15.794800,0
582.700562,7.404500,-16.430300,0
609.932678,6.586800,-16.976400,0
638.437439,5.611400,-17.625500,0
668.274414,4.458100,-18.116600,0
699.505737,3.146700,-18.549700,0
732.196655,1.654900,-18.995400,0
766.415405,-0.053900,-19.008400,0
802.233276,-1.852100,-19.072200,0
839.725159,-3.775300,-18.795700,0
878.969116,-5.804900,-18.136500,0
920.047119,-7.891600,-16.856100,0
963.044922,-9.604700,-14.912900,0
1008.052185,-10.916100,-13.358000,0
1055.162842,-12.011700,-11.373500,0
1104.475098,-12.784900,-9.091200,0
1156.092041,-13.101600,-6.975600,0
1210.121216,-12.977700,-4.751600,0
1266.675415,-12.501900,-2.719400,0
1325.872681,-11.510000,-1.097800,0
1387.836426,-10.532000,0.388400,0
1452.696045,-9.333200,1.461900,0
1520.586792,-8.165100,2.291900,0
1591.650391,-7.090600,2.937700,0
1666.035034,-6.015700,3.356200,0
1743.896118,-4.983100,3.527600,0
1825.395874,-4.055500,3.608700,0
1910.704468,-3.130800,3.466100,0
2000.000000,-2.297900,3.284100,0
