module,mode,frequency_hz,synchronous_component,quadrature_component,gain_linear,gain_db,phase_deg,status
power_path,D2V,10.000000,19.794275,-0.407125,19.7984613933,25.932628821,-1.17828290017,ok
power_path,D2V,10.467343,19.795250,-0.403700,19.7993660568,25.9330257018,-1.1683156469,ok
power_path,D2V,10.956527,19.798750,-0.450575,19.8038763729,25.9350041311,-1.30369798083,ok
power_path,D2V,11.468573,19.790825,-0.488600,19.7968554104,25.931924223,-1.4142428264,ok
power_path,D2V,12.004549,19.781625,-0.504750,19.7880635789,25.9280659416,-1.46164790912,ok
power_path,D2V,12.565574,19.782000,-0.510050,19.788574355,25.9282901418,-1.47696082478,ok
power_path,D2V,13.152817,19.787650,-0.530600,19.7947626629,25.9310059795,-1.53600136063,ok
power_path,D2V,13.767505,19.780450,-0.523050,19.7873642384,25.9277589635,-1.51470646663,ok
power_path,D2V,14.410921,19.789675,-0.584025,19.7982908809,25.9325540143,-1.69039957705,ok
power_path,D2V,15.084405,19.784050,-0.614000,19.793575483,25.9304850325,-1.77760976179,ok
power_path,D2V,15.789365,19.782300,-0.656525,19.7931912123,25.9303164037,-1.90080579668,ok
power_path,D2V,16.527269,19.784225,-0.674900,19.7957330973,25.9314317931,-1.95377541411,ok
power_path,D2V,17.299662,19.775800,-0.697025,19.7880799849,25.9280731429,-2.01863212659,ok
power_path,D2V,18.108149,19.777950,-0.752150,19.7922468615,25.9299019823,-2.17789321116,ok
power_path,D2V,18.954420,19.777800,-0.795500,19.7937917815,25.9305799489,-2.30330154689,ok
power_path,D2V,19.840242,19.778675,-0.832325,19.7961801785,25.9316279593,-2.40969574939,ok
power_path,D2V,20.767464,19.783025,-0.869100,19.8021062759,25.9342277399,-2.51547799102,ok
power_path,D2V,21.738016,19.768450,-0.915800,19.7896514634,25.928762909,-2.65240756202,ok
power_path,D2V,22.753927,19.765350,-0.910625,19.7863159409,25.9272987892,-2.63785364115,ok
power_path,D2V,23.817316,19.763375,-0.961875,19.7867681774,25.9274973118,-2.78636240278,ok
power_path,D2V,24.930405,19.763850,-1.004450,19.7893579134,25.9286340658,-2.9094165574,ok
power_path,D2V,26.095509,19.760300,-1.071900,19.7893513208,25.9286311723,-3.10497377457,ok
power_path,D2V,27.315065,19.745675,-1.085125,19.7754690835,25.9225358792,-3.14552969701,ok
power_path,D2V,28.591616,19.757150,-1.160925,19.7912284353,25.9294550313,-3.36281839699,ok
power_path,D2V,29.927826,19.748350,-1.211150,19.7854545575,25.9269206468,-3.50950718983,ok
power_path,D2V,31.326483,19.745650,-1.261200,19.7858868733,25.927110433,-3.65464845941,ok
power_path,D2V,32.790504,19.739800,-1.320350,19.7839083136,25.9262418134,-3.82668340843,ok
power_path,D2V,34.322948,19.739750,-1.390775,19.78868326,25.9283379438,-4.03014609967,ok
power_path,D2V,35.927006,19.724325,-1.447850,19.7773928092,25.9233807875,-4.19822632943,ok
power_path,D2V,37.606030,19.729575,-1.511950,19.7874233412,25.9277849073,-4.3822214866,ok
power_path,D2V,39.363522,19.723700,-1.570550,19.7861307231,25.927217481,-4.55271679203,ok
power_path,D2V,41.203152,19.710275,-1.644625,19.7787697283,25.9239854856,-4.76971003949,ok
power_path,D2V,43.128754,19.711075,-1.748475,19.7884724646,25.9282454184,-5.06916603067,ok
power_path,D2V,45.144344,19.702050,-1.824825,19.7863781548,25.9273261,-5.29169910451,ok
power_path,D2V,47.254135,19.696825,-1.912075,19.7894149961,25.9286591204,-5.5446311507,ok
power_path,D2V,49.462524,19.681250,-2.013350,19.7839626917,25.9262656873,-5.84091810076,ok
power_path,D2V,51.774124,19.674800,-2.100250,19.7865814405,25.9274153386,-6.09314855865,ok
power_path,D2V,54.193752,19.661375,-2.182100,19.7820936026,25.9254450495,-6.33300316516,ok
power_path,D2V,56.726460,19.654825,-2.279775,19.7865995015,25.927423267,-6.61620662715,ok
power_path,D2V,59.377533,19.641625,-2.406275,19.7884711895,25.9282448587,-6.98444309196,ok
power_path,D2V,62.152500,19.627050,-2.512725,19.7872402984,25.9277045585,-7.29552496934,ok
power_path,D2V,65.057159,19.615075,-2.625750,19.7900411904,25.9289339627,-7.62450827209,ok
power_path,D2V,68.097557,19.603675,-2.712650,19.7904659755,25.9291203998,-7.8782497842,ok
power_path,D2V,71.280052,19.579000,-2.843350,19.7843847572,25.9264509877,-8.26298346459,ok
power_path,D2V,74.611275,19.570975,-3.000700,19.7996783545,25.9331627042,-8.71693399843,ok
power_path,D2V,78.098183,19.552150,-3.151950,19.8045792287,25.9353123949,-9.15771272015,ok
power_path,D2V,81.748055,19.522200,-3.300375,19.7992112969,25.9329578091,-9.59555460714,ok
power_path,D2V,85.568489,19.491350,-3.410775,19.7875241231,25.9278291464,-9.9256429782,ok
power_path,D2V,89.567474,19.463625,-3.560400,19.7865900625,25.9274191235,-10.3662678929,ok
power_path,D2V,93.753349,19.428175,-3.734750,19.7838909569,25.9262341931,-10.8814388454,ok
power_path,D2V,98.134850,19.395825,-3.941400,19.7922374023,25.9298978311,-11.4865958206,ok
power_path,D2V,102.721115,19.412900,-4.124800,19.8462757577,25.9535804289,-11.9956532515,ok
power_path,D2V,107.521721,19.381450,-4.379950,19.8701929056,25.9640416677,-12.734181947,ok
power_path,D2V,112.546677,19.353900,-4.564550,19.8848827483,25.97046069,-13.2705063005,ok
power_path,D2V,117.806465,19.289450,-4.698700,19.8534798711,25.9567327977,-13.6900154669,ok
power_path,D2V,123.312073,19.253900,-4.905700,19.8690351477,25.9635355604,-14.2942504844,ok
power_path,D2V,129.074982,19.192250,-5.176550,19.8781068003,25.9675003926,-15.0946667519,ok
power_path,D2V,135.107208,19.151600,-5.407500,19.9003728309,25.9772242587,-15.7671532046,ok
power_path,D2V,141.421356,19.088400,-5.645750,19.9058159246,25.9795996738,-16.4765645604,ok
power_path,D2V,148.030594,19.036600,-5.907100,19.932033764,25.9910322835,-17.2392346889,ok
power_path,D2V,154.948700,18.921550,-6.196700,19.9104029415,25.9816009851,-18.1333271028,ok
power_path,D2V,162.190125,18.830400,-6.419100,19.8944416602,25.9746351026,-18.8237435489,ok
power_path,D2V,169.769958,18.749950,-6.681450,19.9048335613,25.9791710097,-19.6132686901,ok
power_path,D2V,177.704056,18.651350,-7.065250,19.9446888766,25.9965453201,-20.7470062917,ok
power_path,D2V,186.008926,18.551050,-7.341500,19.9509167296,25.9992571197,-21.5909740694,ok
power_path,D2V,194.701935,18.424450,-7.759000,19.9915591889,26.0169333418,-22.8371853202,ok
power_path,D2V,203.801193,18.264700,-8.141700,19.9971634233,26.0193679163,-24.0254724118,ok
power_path,D2V,213.325699,18.044200,-8.415200,19.9100161898,25.9814322635,-25.002742054,ok
